,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
242,Peneliti (Researcher) dan Asisten Peneliti (Research Assistant),UX Indonesia,3 weeks ago,26 applicants,Not Applicable,"['Market Research', 'Internet', 'Research']",Full-time,Other,
243,Lowongan Staff Data Analyst,PT Rifan Financindo Surabaya,3 weeks ago,Be among the first 25 applicants,Associate,"['Banking', 'Financial Services']",Full-time,Information Technology,
244,Data Analyst (Transport),Traveloka,2 months ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,"1,001-5,000 employees"
245,National Sales Manager - Pharmaceutical (Ethical Products),Michael Page,2 months ago,105 applicants,Mid-Senior level,"['Pharmaceuticals', 'Mental Health Care', 'Medical Devices']",Full-time,"['Sales', 'Business Development']","5,001-10,000 employees"
246,Lead- Search Engine Optimisation - Jakarta,Raena,1 month ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Marketing', 'Sales']",
247,Senior Software Engineer (Frontend / Backend / Android) at Kargo,Alter Global,4 days ago,Be among the first 25 applicants,Associate,Logistics and Supply Chain,Full-time,"['Engineering', 'Information Technology']",
248,Data Engineer,Niagahoster - Web Hosting Unlimited Indonesia,4 days ago,35 applicants,Associate,Information Technology and Services,Full-time,"['Engineering', 'Business Development']",201-500 employees
249,Senior Data Scientist - Jakarta,JULO,1 day ago,Be among the first 25 applicants,Associate,"['Banking', 'Financial Services', 'Accounting']",Full-time,Other,
250,Sr Executive - Data Science,NielsenIQ,2 weeks ago,55 applicants,Executive,"['Marketing and Advertising', 'Retail', 'Financial Services']",Full-time,Information Technology,"10,001+ employees"
251,Data Platform Engineer,Shopee,2 weeks ago,97 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Internet']",Full-time,"['Engineering', 'Information Technology']","5,001-10,000 employees"
252,Market Researcher,AVOMIND,2 weeks ago,27 applicants,Associate,Staffing and Recruiting,Full-time,Other,
253,Data Engineer,Moka,1 month ago,119 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,"501-1,000 employees"
254,Data Engineer,PT Solman Manunggal Informatika,4 days ago,47 applicants,Entry level,Information Technology and Services,Contract,Information Technology,51-200 employees
255,IT System Engineer,Talenta Sumber Daya Manusia PT,6 months ago,Be among the first 25 applicants,Entry level,Consumer Services,Full-time,Information Technology,
256,Data Scientist,Vidio,3 weeks ago,Over 200 applicants,Mid-Senior level,Entertainment,Full-time,"['Engineering', 'Information Technology']",51-200 employees
257,Enterprise Account Manager (Telco),Nutanix,1 week ago,122 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Sales', 'Business Development']","5,001-10,000 employees"
258,Software Engineer - Backend,Ritase.com,1 day ago,33 applicants,Entry level,"['Marketing and Advertising', 'Logistics and Supply Chain', 'Transportation/Trucking/Railroad']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
259,Lead Data Analyst (PayLater),Traveloka,2 weeks ago,132 applicants,Mid-Senior level,Internet,Full-time,Information Technology,"1,001-5,000 employees"
260,Data Analyst,iGrow,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
261,IT PROJECT MANAGER,Abeam Lightstream Analytics,4 days ago,Be among the first 25 applicants,Associate,Warehousing,Full-time,"['Project Management', 'Information Technology']",
262,Business Analyst MD Beauty,JD .ID (PT Ritel Bersama Nasional),2 months ago,33 applicants,Associate,Retail,Full-time,"['Business Development', 'Sales']",
263,Digital Product Manager - Mandarin Speaker,Michael Page,5 months ago,Be among the first 25 applicants,Entry level,"['Telecommunications', 'Biotechnology', 'Information Technology and Services']",Full-time,"['Product Management', 'Marketing']","5,001-10,000 employees"
264,Data Engineer,Qoala,2 months ago,Be among the first 25 applicants,Entry level,"['Internet', 'Staffing and Recruiting', 'Insurance']",Full-time,Information Technology,
265,Senior BI / Data Analyst - Digital Payment,Michael Page,2 months ago,Be among the first 25 applicants,Associate,Financial Services,Full-time,Information Technology,"5,001-10,000 employees"
266,Software Engineer - Front End,PT Bank Jago Tbk,3 weeks ago,57 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
267,Senior Data Scientist,GitLab,1 month ago,33 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software']",Full-time,Other,"1,001-5,000 employees"
268,"Experienced DCSA Investigator (FT employee) - Idaho Falls, ID",PerspectaX,2 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Defense & Space', 'Computer Software']",Full-time,"['Other', 'Information Technology', 'Management']",
269,Embedded Software Engineer,IDEMIA,2 weeks ago,73 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Information Technology', 'Quality Assurance', 'Business Development']","10,001+ employees"
270,Data Engineer and Analytics,Finaccel,4 days ago,Be among the first 25 applicants,Entry level,Warehousing,Full-time,Information Technology,
271,"Data Scientist, Financial Services Platform",Gojek,3 weeks ago,89 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
272,PHP Developer Consultant,MSBU,1 month ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,Engineering,
273,EOI - Superintendent Technical Services,Thiess,3 days ago,Be among the first 25 applicants,Mid-Senior level,"['Construction', 'Mining & Metals', 'Transportation/Trucking/Railroad']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
274,Data Engineer,PT Pintu Kemana Saja,4 weeks ago,Be among the first 25 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,
275,Data Engineer,Pt. Citra Kreasi Hutama,2 days ago,Be among the first 25 applicants,Associate,,Full-time,Consulting,
276,Associate Product Collection Consultant,MSBU,5 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,Consulting,
277,Technical Business Analyst,Mitra Keluarga,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Internet', 'Hospital & Health Care']",Full-time,"['Business Development', 'Sales']",
278,Senior BI / Data Analyst - Digital Payment,Michael Page,2 months ago,Be among the first 25 applicants,Associate,Financial Services,Full-time,Information Technology,"5,001-10,000 employees"
279,SPS Data Engineer,General Motors,2 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
280,Data Engineer,Gramedia e-Perpust,3 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
281,Senior Data Engineer,Flip,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
282,Software Engineer,Hukumonline,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
283,Data Analyst,Ruangguru.com,1 month ago,179 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
284,Software Engineer - Entry Level to Senior FE and BE,Pandatech,2 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
285,Lowongan Business Analyst (for AI Products),PT JAC Indonesia,3 days ago,Be among the first 25 applicants,Associate,Management Consulting,Full-time,"['Business Development', 'Sales']",
286,Product Manager,Tjetak,2 months ago,156 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Consumer Goods']",Full-time,"['Product Management', 'Marketing']",
287,Account Executive B2B,Ninja Van,4 days ago,Be among the first 25 applicants,Associate,Logistics and Supply Chain,Full-time,"['Sales', 'Business Development']","501-1,000 employees"
288,Program Beasiswa :,PT. Aplikasi Evolusi Indonesia,3 days ago,Be among the first 25 applicants,Not Applicable,Internet,Full-time,Education,
289,"Data Analyst, GrabFood Bandung",ACCA Careers,7 days ago,54 applicants,Entry level,"['Electrical/Electronic Manufacturing', 'Staffing and Recruiting', 'Human Resources']",Full-time,Information Technology,51-200 employees
290,MS Engineer (L2),NTT Ltd.,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
291,Sr. Software Engineer - SAP | E-Commerce,Michael Page,3 months ago,Be among the first 25 applicants,Associate,"['Telecommunications', 'Biotechnology', 'Information Technology and Services']",Full-time,"['Engineering', 'Information Technology']","5,001-10,000 employees"
292,Data Architect,KSPS,2 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",
293,Continuous Improvement Process Lead,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Management', 'Manufacturing']",
294,"Director, Development Planning and Feasibility, Asia Pacific","Marriott International, Inc",18 hours ago,Be among the first 25 applicants,Director,"Leisure, Travel & Tourism",Full-time,Other,
295,"Software Engineer (Java), Indonesia",iZeno,2 months ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,"['Engineering', 'Information Technology']",
296,Senior Researcher,Migo,4 weeks ago,77 applicants,Mid-Senior level,Information Technology and Services,Full-time,Research,51-200 employees
297,Factory Costing Specialist,Nestlé,4 weeks ago,Over 200 applicants,Not Applicable,"['Consumer Goods', 'Food & Beverages', 'Food Production']",Full-time,"['Finance', 'Accounting/Auditing']","10,001+ employees"
298,Business Analyst,Siloam Hospitals Group,4 weeks ago,Over 200 applicants,Associate,Hospital & Health Care,Full-time,"['Analyst', 'Product Management']","10,001+ employees"
299,Business Analyst,NTT Ltd.,4 months ago,Over 200 applicants,Associate,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Business Development', 'Sales']","10,001+ employees"
300,Lead - Data Engineer - Jakarta,ndigital,1 week ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,201-500 employees
301,Software Engineer,Pensieve Technology,6 days ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
302,Software Engineer - Back End,PT Bank Jago Tbk,3 weeks ago,90 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
303,Data Scientist,FinAccel,2 months ago,45 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
304,iOS Engineer - Lowokwaru,Ruangguru,1 day ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
305,Data Engineer - Bandung,OrderOnline.id,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
306,Data Engineer (Crawling),Leadbook,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
307,"Manager, Marketing Innovation and Analytics (Bangkok-based, relocation provided)",Agoda,4 weeks ago,56 applicants,Associate,Internet,Full-time,"['Product Management', 'Marketing']","1,001-5,000 employees"
308,Lead Data Scientist,Michael Page,2 weeks ago,Be among the first 25 applicants,Associate,Financial Services,Full-time,Other,"5,001-10,000 employees"
309,Managed Services Engineer,NTT,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']",
310,Sr. Business Intelligence,Kitabisa.com,1 week ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",51-200 employees
311,Product Support Consultant,MSBU,5 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,Consulting,
312,Principal Financial Analyst,Medtronic,2 months ago,184 applicants,Mid-Senior level,"['Information Technology and Services', 'Human Resources', 'Hospital & Health Care']",Full-time,"['Administrative', 'Accounting/Auditing', 'Engineering']","10,001+ employees"
313,Senior Data Engineer,Flip.id,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,Financial Services,Full-time,Other,51-200 employees
314,Data Quality Analyst,Shipper,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,Logistics and Supply Chain,Full-time,Other,
315,Data Engineer,CIMB Niaga,4 days ago,185 applicants,Mid-Senior level,Banking,Full-time,Information Technology,"10,001+ employees"
316,Data & Analitycs Engineering,Jobs MNC,3 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Contract,Information Technology,
317,Product Management - Business Improvement Focus,Shopee,4 months ago,Over 200 applicants,Mid-Senior level,"['Marketing and Advertising', 'Information Technology and Services', 'Internet']",Full-time,"['Product Management', 'Marketing']","5,001-10,000 employees"
318,Senior Business Intelligence Analyst,SayurBox,2 months ago,84 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",
319,Full-Stack Developer,Solusi Duka,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Information Technology', 'Engineering']",
320,Senior Full Stack Developer / Software Engineer,Michael Page,5 months ago,Be among the first 25 applicants,Associate,Financial Services,Full-time,"['Engineering', 'Information Technology']","5,001-10,000 employees"
321,Senior Data Engineer,SayurBox,2 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
322,Software Engineer,"Altech Omega Andalan, Pt",6 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Information Technology', 'Engineering']",
323,Sales manager - Food ingredient,Michael Page,5 days ago,Be among the first 25 applicants,Entry level,"['Mechanical or Industrial Engineering', 'Electrical/Electronic Manufacturing']",Full-time,"['Sales', 'Business Development']","5,001-10,000 employees"
324,Software Engineer (BACKEND),PT Solusi Layanan Digital - Wehelpyou,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",
325,"Sales Manager, Indonesia",Corsair,4 days ago,Be among the first 25 applicants,Entry level,Retail,Full-time,"['Sales', 'Business Development']","1,001-5,000 employees"
326,Business Development Manager,Michael Page,5 months ago,52 applicants,Associate,"['Events Services', 'Financial Services', 'Facilities Services']",Full-time,"['Sales', 'Business Development']","5,001-10,000 employees"
327,Data Analytics and Visualizer,De Heus Voeders B.V.,4 weeks ago,120 applicants,Associate,Farming,Full-time,Information Technology,"5,001-10,000 employees"
328,Data Scientist,FinAccel,2 months ago,45 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
329,Data Engineer,ZebraX,5 days ago,47 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software']",Full-time,Information Technology,11-50 employees
330,Software Engineer (Loan Product),NuWorq,6 days ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Banking', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",
331,Senior Machine Learning Engineer,HappyFresh,3 months ago,62 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
332,Product Owner,DKATALIS (Digital Katalis),4 months ago,167 applicants,Director,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
333,"Software Engineer in Test, Ops: Pipeline Authoring",GitLab,1 week ago,Be among the first 25 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
334,"Growth Analytics Lead, Financial Services Platform",Gojek,3 weeks ago,93 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Other,"1,001-5,000 employees"
335,Software Engineer (Fresh Graduate),PT Five Jack (Itemku),3 weeks ago,26 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
336,Business Analyst (IT),PT Mega Akses Persada (FiberStar),2 months ago,Over 200 applicants,Associate,Telecommunications,Full-time,"['Business Development', 'Sales']","501-1,000 employees"
337,Lowongan Head of Administration,PT JAC Indonesia,3 days ago,58 applicants,Director,Management Consulting,Full-time,"['Management', 'Manufacturing']",
338,"Manager, Operations Excellence",Grab,14 hours ago,71 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Information Technology', 'Customer Service']","5,001-10,000 employees"
339,Software Engineer,WELLS FARGO BANK,5 days ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Banking', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",
340,Software Engineer,Xendit,2 weeks ago,39 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
341,Data Analyst for Content - Jakarta,Quipper,2 weeks ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,"501-1,000 employees"
342,Researcher – Battery Cell Manufacturing - General Motors,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Engineering', 'Information Technology']",
343,iOS Engineer,Ruangguru.com,2 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
344,Data Engineer Consultant,MSBU,3 weeks ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
345,Software Engineer in Test,Warung Pintar,3 months ago,164 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
346,Data Analyst,Tjetak,1 month ago,40 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Consumer Goods']",Full-time,Information Technology,
347,UX RESEARCHER - South Jakarta,RateX,1 month ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Design', 'Graphic Design']",Full-time,Information Technology,
348,IT Data Engineer,PT K-24 Indonesia,4 weeks ago,26 applicants,Associate,Hospital & Health Care,Full-time,Engineering,
349,Senior Data Engineer,Akseleran,17 hours ago,Be among the first 25 applicants,Mid-Senior level,"['Financial Services', 'Information Technology and Services']",Full-time,"['Analyst', 'Engineering', 'Information Technology']",51-200 employees
350,Incoming Quality & Metrology Senior Engineer,Schneider Electric,6 days ago,92 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Staffing and Recruiting']",Full-time,"['Management', 'Manufacturing']","10,001+ employees"
351,MFG IT Cyber Security Solutions Architect - General Motors,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,Information Technology,
352,"Data Engineer, Financial Services",Traveloka,2 weeks ago,78 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,"1,001-5,000 employees"
353,Business Office,Pt Republik Indonesia Finance,3 days ago,Be among the first 25 applicants,Entry level,Logistics and Supply Chain,Full-time,"['Project Management', 'Information Technology']",
354,Business Intelligence Developer,PT Kamoro Maxima Integra,1 month ago,32 applicants,Associate,Information Technology and Services,Full-time,"['Business Development', 'Sales']",51-200 employees
355,Senior iOS Engineer,Ruangguru,1 day ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
356,UX Researcher,detik.com,1 month ago,45 applicants,Associate,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,Information Technology,
357,"Business Development Lead, - Digital Intelligence - APAC",The Nielsen Company,1 week ago,Be among the first 25 applicants,Director,"['Marketing and Advertising', 'Computer Software', 'Consumer Goods']",Full-time,"['Sales', 'Business Development']",
358,Financial Planning & Analysis,Electrolux,2 weeks ago,Over 200 applicants,Not Applicable,Consumer Goods,Full-time,Finance,"10,001+ employees"
359,Growth Marketing Strategist,Darshana Design Studio,1 week ago,42 applicants,Associate,"['Marketing and Advertising', 'Online Media', 'Design']",Full-time,"['Marketing', 'Sales']",51-200 employees
360,Banking Industry Consultant,ABeam Consulting Indonesia,4 weeks ago,189 applicants,Mid-Senior level,"['Management Consulting', 'Financial Services', 'Information Technology and Services']",Full-time,"['Consulting', 'Finance', 'Information Technology']",51-200 employees
361,Digital Talent Program,Sinarmas Agribusiness and Food,1 month ago,87 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Research']",Full-time,"['Design', 'Art/Creative', 'Information Technology']",
362,Golang Developer Consultant,MSBU,6 days ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,Consulting,
363,Senior Integrations Developer - APAC Region,Agiloft,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Information Services']",Full-time,"['Engineering', 'Information Technology']",
364,Data Engineer (Urgently Hiring!),Xfers,2 months ago,29 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,51-200 employees
365,Data Engineer,PT. Astra Welab Digital Arta,4 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Banking', 'Financial Services']",Full-time,Information Technology,
366,Software Engineer – Android - Jakarta,Quipper,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']","501-1,000 employees"
367,IT Data Engineer,PT K-24 Indonesia,4 weeks ago,26 applicants,Associate,Hospital & Health Care,Full-time,Engineering,
368,Senior Software Tester,PT Anabatic Digital Raya,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Quality Assurance,
369,Senior Data Engineer,Flip.id,2 weeks ago,32 applicants,Associate,Financial Services,Full-time,Information Technology,51-200 employees
370,COST ENGINEER,Beca,4 weeks ago,Over 200 applicants,Entry level,"['Construction', 'Civil Engineering', 'Management Consulting']",Full-time,"['Consulting', 'Engineering']","1,001-5,000 employees"
371,Database Engineer,Shopee,4 months ago,Over 200 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Internet']",Full-time,Information Technology,"5,001-10,000 employees"
372,SAP FI QA Consultant,MSBU,3 days ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,Consulting,
373,Software Engineer,Pensieve,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",11-50 employees
374,Data Scientist,MPM Group (PT Mitra Pinasthika Mustika Tbk),3 weeks ago,Over 200 applicants,Associate,Automotive,Full-time,Information Technology,"5,001-10,000 employees"
375,Sales Growth Analytics,Xendit,2 months ago,Be among the first 25 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Sales', 'Business Development']",201-500 employees
376,Lowongan Infrastructure System Engineer,PT Berlian Sistem Informasi,4 weeks ago,95 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,201-500 employees
377,Senior UX Researcher (Payments/Fintech),WeNetwork,4 weeks ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,11-50 employees
378,Lead Software Engineer,Ninja Van,4 days ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","501-1,000 employees"
379,Software Engineer,Ciheul Technologies,1 month ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
380,Senior Associate Data Engineer - Jakarta,NTT Ltd.,7 hours ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,"10,001+ employees"
381,Data Business Intelligence Analytics,JD .ID (PT Ritel Bersama Nasional),2 months ago,41 applicants,Entry level,Retail,Full-time,Information Technology,
382,Key Account Manager - Financial Services,RGF HR Agent,6 months ago,29 applicants,Associate,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,"['Sales', 'Business Development']",51-200 employees
383,Software Engineer Intern - Jakarta,Payfazz (PT. Payfazz Teknologi Nusantara),4 days ago,Be among the first 25 applicants,Internship,"['Internet', 'Banking', 'Financial Services']",Internship,"['Education', 'Training']",
384,Senior Software Engineer,OVO (PT Visionet Internasional),3 days ago,26 applicants,Mid-Senior level,"['Information Technology and Services', 'Financial Services']",Full-time,Information Technology,"501-1,000 employees"
385,System Engineer,PT Sentra Vidya Utama,2 months ago,84 applicants,Entry level,Management Consulting,Full-time,Information Technology,
386,Lowongan IT Development Staff,PT Porto Indonesia Sejahtera,6 days ago,Be among the first 25 applicants,Associate,Electrical/Electronic Manufacturing,Full-time,Information Technology,
387,Lowongan Data Scientist,PT Berlian Sistem Informasi,4 weeks ago,144 applicants,Entry level,Information Technology and Services,Contract,"['Engineering', 'Information Technology']",201-500 employees
388,Front-End Software Developer (Web Developer),Sasana Digital,4 months ago,Be among the first 25 applicants,Mid-Senior level,Management Consulting,Full-time,"['Information Technology', 'Engineering']",
389,Data Science Manager,Purwadhika Digital Technology School,18 hours ago,Be among the first 25 applicants,Mid-Senior level,"['Marketing and Advertising', 'Online Media', 'Graphic Design']",Full-time,Other,
390,Data Analyst - Jakarta,Quipper,1 month ago,112 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,"501-1,000 employees"
391,"Enterprise Account Manager, FSI / Commercial Accounts, Indonesia",iZeno,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Management Consulting']",Full-time,"['Sales', 'Business Development']",
392,"Manager, Marketing Innovation and Analytics (Bangkok-based, relocation provided)",Agoda,4 weeks ago,56 applicants,Associate,Internet,Full-time,"['Product Management', 'Marketing']","1,001-5,000 employees"
393,BUSINESS INTELLIGENCE ANALYST,Sayurbox,2 months ago,Over 200 applicants,Mid-Senior level,"['Computer Software', 'Internet', 'Consumer Goods']",Full-time,"['Business Development', 'Sales']",201-500 employees
394,Data Engineer,Niagahoster - Web Hosting Unlimited Indonesia,4 days ago,35 applicants,Associate,Information Technology and Services,Full-time,"['Engineering', 'Business Development']",201-500 employees
395,Data Science Trainee,Algoritma Data Science School,4 days ago,78 applicants,Internship,"['Marketing and Advertising', 'Public Relations and Communications', 'Internet']",Full-time,"['Engineering', 'Information Technology']",11-50 employees
396,Software Engineer Lead,ULA,5 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Engineering', 'Information Technology']",
397,iOS Software Engineer,IDN Media,2 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
398,Lowongan Customer Care Analyst,PT Central Mega Kencana,3 weeks ago,173 applicants,Entry level,Luxury Goods & Jewelry,Full-time,"['Customer Service', 'Information Technology']",
399,Senior Front-End Engineer,Nimbly Technologies,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
400,Data Scientist,Cermati.com,3 weeks ago,116 applicants,Mid-Senior level,"['Information Technology and Services', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
401,Product Line Manager APAC Packaging Adhesives,Henkel,2 months ago,38 applicants,Mid-Senior level,"['Chemicals', 'Consumer Goods']",Full-time,"['Marketing', 'Marketing']","10,001+ employees"
402,Oracle Business Analyst,PT Serba Mulia Auto,3 weeks ago,Be among the first 25 applicants,Associate,Automotive,Full-time,"['Business Development', 'Sales']",
403,Senior UX Researcher - Jakarta,taDA,4 days ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,"10,001+ employees"
