,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
36,Business Analyst,PT Berlian Sistem Informasi,1 month ago,34 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Business Development', 'Sales']",201-500 employees
37,International Vendor Management Manager,Traveloka,5 months ago,Over 200 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Customer Service', 'Information Technology']","1,001-5,000 employees"
38,Business Intelligence (Data) Consultant,MSBU,1 month ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,Information Technology,
39,Full Stack Developer,OKHOME,1 month ago,Be among the first 25 applicants,Associate,Consumer Services,Full-time,"['Information Technology', 'Engineering']",
40,Data Engineer,PT Kamoro Maxima Integra,1 month ago,60 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,51-200 employees
41,Senior Data Engineer - Depok,Flip,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
42,"Senior Business Analyst – Partner Programs (Bangkok based, relocation provided)",Agoda,4 weeks ago,70 applicants,Associate,Internet,Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
43,"Senior Software Engineer (Java), Indonesia - Jakarta",iZeno,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Management Consulting']",Full-time,"['Engineering', 'Information Technology']",
44,"Sales Manager, Indonesia",Corsair,3 weeks ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Consumer Goods']",Full-time,"['Sales', 'Business Development']","1,001-5,000 employees"
45,Data Platform Engineer,Shopee,2 weeks ago,97 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Internet']",Full-time,"['Engineering', 'Information Technology']","5,001-10,000 employees"
46,Data Analyst,Moslem Community Application,1 month ago,25 applicants,Director,Online Media,Full-time,"['Information Technology', 'Engineering']",
47,Head of Data & Analytics,GoToko,11 hours ago,55 applicants,Mid-Senior level,Information Technology and Services,Full-time,Analyst,51-200 employees
48,Business Analyst,Pt Berlian Sistem Informasi,4 days ago,Be among the first 25 applicants,Associate,Human Resources,Full-time,"['Business Development', 'Sales']",
49,DEVELOPER POWER BI,PT Kwadran Lima Mitra Kaya Solusi,1 month ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
50,Country Sales Manager,TE Connectivity,1 month ago,46 applicants,Mid-Senior level,"['Electrical/Electronic Manufacturing', 'Automotive', 'Mechanical or Industrial Engineering']",Full-time,"['Sales', 'Marketing', 'Information Technology']","10,001+ employees"
51,Software Engineer - Android,GudangAda,2 days ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Design', 'Computer Software']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
52,Data (BI) Lead - South Jakarta,ULA,2 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
53,Software Engineer,PT Putra Mandiri Informatika,1 month ago,95 applicants,Entry level,Apparel & Fashion,Full-time,"['Engineering', 'Information Technology']",
54,Senior Data Engineer,Machtwatch,2 weeks ago,37 applicants,Mid-Senior level,Retail,Full-time,Information Technology,201-500 employees
55,Packaging Tech I - Bottling Line SA,HEINEKEN,2 days ago,Be among the first 25 applicants,Entry level,"['Food & Beverages', 'Food Production', 'Consumer Goods']",Full-time,"['Design', 'Art/Creative', 'Information Technology']",
56,Data Scientist - QuantumBlack,QuantumBlack,4 weeks ago,Over 200 applicants,Executive,"['Computer Software', 'Information Technology and Services']",Full-time,"['Consulting', 'Information Technology', 'Analyst']",201-500 employees
57,Data Engineer - Jakarta,NuWorq,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
58,Lead Data Engineer,kumparan.com,1 month ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,Information Technology,
