Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
384,Senior Data Scientist,GitLab,Posted 1 month ago,34 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,Other,"['Information Technology & Services', 'Computer Software']"
385,UX Researcher - Jakarta,Ralali.com - B2B Marketplace,Posted 2 weeks ago,102 applicants,201-500 employees,Associate,Full-time,Information Technology,"['Marketing & Advertising', 'Computer Software', 'Internet']"
386,Senior Machine Learning Engineer,HappyFresh,Posted 3 months ago,63 applicants,201-500 employees,Associate,Full-time,"['Engineering', 'Information Technology']","['Marketing & Advertising', 'Computer Software', 'Internet']"
387,Technical Expert Data Engineer,Vidio,Posted 2 weeks ago,25 applicants,51-200 employees,Mid-Senior level,Full-time,Information Technology,Entertainment
388,Big Data Engineer,Kitabisa.com,Posted 5 days ago,17 applicants,51-200 employees,Entry level,Full-time,"['Engineering', 'Information Technology']","['Marketing & Advertising', 'Online Media', 'Non-profit Organization Management']"
389,Senior Data Engineer,Halodoc ID,Posted 5 days ago,8 applicants,201-500 employees,Associate,Full-time,Information Technology,"Health, Wellness & Fitness"
390,UX Researcher,Amar Bank,Posted 1 week ago,99 applicants,"501-1,000 employees",Associate,Full-time,Information Technology,"['Internet', 'Banking', 'Financial Services']"
391,Senior Data Engineer,Machtwatch,Posted 2 weeks ago,37 applicants,201-500 employees,Mid-Senior level,Full-time,Information Technology,Retail
392,Customer Insight Manager (CX Researcher),Lazada,Posted 2 weeks ago,285 applicants,"5,001-10,000 employees",Mid-Senior level,Full-time,"['Project Management', 'Consulting', 'Engineering']",Internet
393,Data Scientist,Mamikos.com,Posted 1 week ago,89 applicants,201-500 employees,Associate,Full-time,"['Engineering', 'Information Technology']",Internet
394,Senior Associate Data Engineer,NTT Ltd.,Posted 3 weeks ago,0 applicants,10001+ employees,Associate,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
395,IBM Services Associate: Developer (Graduates Program),IBM,Posted 2 weeks ago,27 applicants,10001+ employees,,Full-time,Information Technology,Computer Hardware
396,Tissue Culture Sr. Researcher,APRIL,Posted 17 hours ago,31 applicants,10001+ employees,Mid-Senior level,Full-time,"['Research', 'Science']",Paper & Forest Products
397,"DATA ENGINEER , DUBAI OR REMOTE",Cobblestone Energy,Posted 2 months ago,68 applicants,11-50 employees,Entry level,Full-time,Information Technology,"['Computer Software', 'Staffing & Recruiting', 'Financial Services']"
398,Data Science Trainee,Algoritma Data Science School,Posted 5 days ago,93 applicants,11-50 employees,Internship,Full-time,"['Engineering', 'Information Technology']","['Marketing & Advertising', 'Public Relations & Communications', 'Internet']"
399,Data Science Curriculum Developer & Instructor,Hacktiv8 Indonesia,Posted 1 month ago,20 applicants,51-200 employees,Entry level,Full-time,"['Education', 'Training']","['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
400,"Data Scientist, Financial Services Platform",Gojek,Posted 3 weeks ago,103 applicants,"1,001-5,000 employees",Entry level,Full-time,"['Engineering', 'Information Technology']","['Computer Software', 'Internet', 'Financial Services']"
401,Lowongan Senior Data Scientist,PT. Mega Central Finance,Posted 2 weeks ago,14 applicants,"1,001-5,000 employees",Associate,Full-time,Other,"['Banking', 'Financial Services']"
402,Senior Data Engineer,mClinica,Posted 1 day ago,4 applicants,51-200 employees,Associate,Full-time,Information Technology,Pharmaceuticals
403,Data Scientist,PT Digdaya Duta Digital,Posted 1 month ago,25 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Internet']"
404,Data Engineer and Analytics,FinAccel,Posted 2 months ago,29 applicants,51-200 employees,Entry level,Full-time,Information Technology,"['Computer Software', 'Internet', 'Financial Services']"
405,"Data Engineer, Financial Services",Traveloka,Posted 2 weeks ago,82 applicants,"1,001-5,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
406,Data Scientist - Risk Modelling Specialist,Cermati.com,Posted 2 weeks ago,48 applicants,201-500 employees,Associate,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Internet', 'Financial Services']"
407,Lowongan Data Scientist,PT Berlian Sistem Informasi,Posted 3 weeks ago,147 applicants,201-500 employees,Entry level,Contract,"['Engineering', 'Information Technology']",Information Technology & Services
408,Product Researcher (E-Commerce Product),Worldwide Indonesia Pt,Posted 5 months ago,68 applicants,,Associate,Full-time,Other,"['Computer Hardware', 'Computer Software', 'Computer Networking']"
409,Lead Data Scientist Digital Factory,BHP,Posted 5 days ago,5 applicants,10001+ employees,Associate,Full-time,Other,"['Construction', 'Oil & Energy', 'Human Resources']"
410,Senior Product Researcher,Ruangguru,Posted 5 days ago,24 applicants,"1,001-5,000 employees",Associate,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Internet']"
411,Senior UX Researcher (Payments/Fintech),WeNetwork,Posted 3 weeks ago,18 applicants,11-50 employees,Associate,Full-time,Information Technology,"['Computer Software', 'Internet', 'Financial Services']"
412,Data Engineer KG Media,NRI (Nomura Research Institute),Posted 3 weeks ago,13 applicants,10001+ employees,Entry level,Contract,Information Technology,"['Marketing & Advertising', 'Online Media', 'Internet']"
413,SENIOR DATA ENGINEER,Sayurbox,Posted 1 month ago,36 applicants,201-500 employees,Mid-Senior level,Full-time,Information Technology,"['Computer Software', 'Internet', 'Consumer Goods']"
414,Lead Data Scientist,Michael Page,Posted 1 week ago,4 applicants,"5,001-10,000 employees",Associate,Full-time,Other,Financial Services
415,Senior Data Engineer,GitLab,Posted 1 month ago,26 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software']"
416,Senior Machine Learning Engineer,DKATALIS (Digital Katalis),Posted 5 days ago,0 applicants,201-500 employees,Associate,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Internet']"
417,Strategic Presales,PT. Metrodata Electronics Tbk.,Posted 18 hours ago,0 applicants,"1,001-5,000 employees",Entry level,Full-time,"['Sales', 'Business Development']","['Information Technology & Services', 'Computer Software', 'Computer Networking']"
418,Senior Data Engineer,Flip.id,Posted 2 weeks ago,7 applicants,51-200 employees,Mid-Senior level,Full-time,Other,Financial Services
419,Senior UX Researcher,Bukalapak,Posted 1 day ago,114 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,"['Information Technology', 'Research', 'Design']",Information Technology & Services
420,Team Staff- Financial Industry,RGF HR Agent,Posted 5 months ago,37 applicants,51-200 employees,Associate,Full-time,"['Finance', 'Sales']","['Construction', 'Consumer Goods', 'Financial Services']"
421,Senior UX Researcher,Tokopedia,Posted 1 week ago,72 applicants,"1,001-5,000 employees",Associate,Full-time,"['Design', 'Analyst', 'Research']",Internet
422,"Researcher, Financial Services Platform",Gojek,Posted 3 weeks ago,293 applicants,"1,001-5,000 employees",Associate,Full-time,"['Finance', 'Sales']","['Computer Software', 'Internet', 'Financial Services']"
423,Senior UX Researcher - Jakarta,taDA,Posted 5 days ago,1 applicant,,Associate,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
424,Data Science Curriculum Developer and Instructor - South Jakarta,Hacktiv8 Indonesia,Posted 2 weeks ago,6 applicants,51-200 employees,Entry level,Full-time,"['Education', 'Training']","['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
425,Senior Researcher,Migo,Posted 2 months ago,96 applicants,51-200 employees,Associate,Full-time,"['Research', 'Analyst', 'Information Technology']","['Computer Software', 'Internet', 'Consumer Goods']"
426,UX Researcher Intern - Jakarta,Ralali.com - B2B Marketplace,Posted 2 weeks ago,227 applicants,201-500 employees,Internship,Internship,Information Technology,"['Marketing & Advertising', 'Computer Software', 'Internet']"
427,Operation Risk Policy Specialist,Traveloka,Posted 2 weeks ago,292 applicants,"1,001-5,000 employees",Entry level,Full-time,"['Management', 'Manufacturing']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
428,Machine Learning Engineer - Merchant Platform,Gojek,Posted 2 weeks ago,99 applicants,"1,001-5,000 employees",Entry level,Full-time,"['Engineering', 'Information Technology']","['Computer Software', 'Internet', 'Financial Services']"
429,Senior Data Scientist (Machine Learning),Michael Page,Posted 3 weeks ago,9 applicants,"5,001-10,000 employees",Associate,Full-time,Other,Financial Services
430,Data Scientist,PT. Astra Welab Digital Arta,Posted 3 weeks ago,62 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Banking', 'Financial Services']"
431,Project Manager- Financial Industry,RGF HR Agent,Posted 5 months ago,16 applicants,51-200 employees,Entry level,Full-time,"['Project Management', 'Information Technology']","['Construction', 'Consumer Goods', 'Financial Services']"
432,Regulatory Compliance Specialist,Traveloka,Posted 3 months ago,784 applicants,"1,001-5,000 employees",Associate,Full-time,"['Finance', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
433,Data Scientist - Jakarta,Katalis Insight,Posted 2 days ago,38 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",
434,Head of Data Engineer,Michael Page,Posted 4 months ago,19 applicants,"5,001-10,000 employees",Associate,Full-time,Information Technology,Financial Services
