Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
0,Data Warehouse Analyst,Badan Pertanahan Nasional,Posted 2 hours ago,20 applicants,,Associate,Contract,"['Business Development', 'Sales']",
1,Business Intelligence Analyst - GoPay,Gojek,Posted 3 weeks ago,170 applicants,"1,001-5,000 employees",Associate,Full-time,"['Business Development', 'Sales']","['Computer Software', 'Internet', 'Financial Services']"
2,Data Analyst - Jakarta,Payfazz (PT. Payfazz Teknologi Nusantara),Posted 2 days ago,73 applicants,,Entry level,Full-time,Information Technology,"['Internet', 'Banking', 'Financial Services']"
3,Data Analyst,Lemonilo,Posted 2 months ago,"1,553 applicants",51-200 employees,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
4,Data Analyst-Platform,Traveloka,Posted 5 days ago,175 applicants,"1,001-5,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
5,Jr.Data Analyst,Home Credit Indonesia,Posted 1 week ago,913 applicants,10001+ employees,Mid-Senior level,Full-time,Analyst,Financial Services
6,Data Engineer - Jakarta,Ritase.com,Posted 5 days ago,27 applicants,51-200 employees,Entry level,Full-time,Information Technology,"['Marketing & Advertising', 'Logistics & Supply Chain', 'Transportation/Trucking/Railroad']"
7,Data Analyst Consultant,Nomura Research Institute Indonesia,Posted 16 hours ago,76 applicants,51-200 employees,Mid-Senior level,Full-time,Information Technology,Information Technology & Services
8,Digital Data Analyst,PT. VIVO MOBILE INDONESIA,Posted 1 week ago,459 applicants,"1,001-5,000 employees",Associate,Full-time,"['Analyst', 'Strategy/Planning', 'Research']",Telecommunications
9,Data Analyst,PT Kamoro Maxima Integra,Posted 1 month ago,481 applicants,51-200 employees,Entry level,Full-time,Information Technology,Information Technology & Services
10,Data Analyst - Jakarta,Quipper,Posted 1 month ago,119 applicants,"501-1,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
11,Data Analyst - Jakarta,KOMPAS GRAMEDIA,Posted 5 days ago,472 applicants,10001+ employees,Entry level,Full-time,Information Technology,"['Marketing & Advertising', 'Information Technology & Services', 'Online Media']"
12,NCS Data Analyst,The Nature Conservancy,Posted 37 minutes ago,1 applicant,"1,001-5,000 employees",Entry level,Full-time,Information Technology,"['Non-profit Organization Management', 'Environmental Services', 'Human Resources']"
13,Data Engineer,ITB Career Center,Posted 2 weeks ago,52 applicants,11-50 employees,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
14,Data Analyst - Marketing,Pluang,Posted 1 day ago,306 applicants,51-200 employees,,Full-time,,Financial Services
15,AI Engineer,PT DJARUM,Posted 2 weeks ago,631 applicants,10001+ employees,Entry level,Full-time,Information Technology,Information Technology & Services
16,Portofilo Analyst,PT Link Net Tbk,Posted 1 week ago,267 applicants,"501-1,000 employees",Mid-Senior level,Contract,"['Analyst', 'Sales', 'Business Development']",Telecommunications
17,Data Analytics,CIMB Niaga,Posted 1 week ago,851 applicants,10001+ employees,Mid-Senior level,Full-time,"['Analyst', 'Project Management', 'Information Technology']",Banking
18,Business Intelligence Analyst,PT Bank Sinarmas Tbk,Posted 6 days ago,664 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,"['Business Development', 'Analyst', 'Information Technology']",Banking
19,Lowongan Data Analyst (Improvement Officer),PT Star Cosmos,Posted 3 weeks ago,222 applicants,"1,001-5,000 employees",Entry level,Full-time,Information Technology,Electrical & Electronic Manufacturing
20,Digital Analyst & Engagement Performance,MPM Group (PT Mitra Pinasthika Mustika Tbk),Posted 4 days ago,328 applicants,"5,001-10,000 employees",Associate,Full-time,"['Marketing', 'Analyst', 'Strategy/Planning']",Automotive
21,E-commerce Business Analyst,PT. Organik Sehat Alami,Posted 2 weeks ago,"1,105 applicants",51-200 employees,Mid-Senior level,Full-time,Marketing,"['Retail', 'Marketing & Advertising']"
22,"Data Analyst (Bangkok Based, relocation provided)",Agoda,Posted 4 weeks ago,323 applicants,"1,001-5,000 employees",Associate,Full-time,Information Technology,Internet
23,Data Analyst,Migo,Posted 2 months ago,758 applicants,51-200 employees,Entry level,Full-time,Information Technology,"['Computer Software', 'Internet', 'Consumer Goods']"
24,Data Analyst - Oval,NRI (Nomura Research Institute),Posted 1 month ago,79 applicants,10001+ employees,Entry level,Temporary,Information Technology,"['Marketing & Advertising', 'Online Media', 'Internet']"
25,Business Intelligence Jr. Manager,Fore Coffee,Posted 3 hours ago,29 applicants,51-200 employees,Mid-Senior level,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Market Research', 'Computer Software']"
26,Data Analyst - Fraud,Xendit,Posted 1 month ago,330 applicants,201-500 employees,Entry level,Full-time,Information Technology,"['Computer Software', 'Internet', 'Financial Services']"
27,Business Analyst (Data Analyst),Glints,Posted 1 month ago,"1,300 applicants",201-500 employees,Mid-Senior level,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Computer Software', 'Internet']"
28,Data Analyst,Agate International,Posted 1 month ago,137 applicants,51-200 employees,Entry level,Full-time,Information Technology,"['Publishing', 'Printing']"
29,"Data Analyst, GrabFood Sumatra",Grab,Posted 2 weeks ago,262 applicants,"5,001-10,000 employees",Entry level,Full-time,"['Finance', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
30,Data Technology and Analyst,Ralali.com - B2B Marketplace,Posted 2 weeks ago,73 applicants,201-500 employees,Associate,Full-time,Information Technology,"['Marketing & Advertising', 'Computer Software', 'Internet']"
31,Digital Analyst - Jakarta,WEEKEND Inc.,Posted 1 month ago,80 applicants,11-50 employees,Entry level,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Internet']"
32,Business Analyst (Operations),FinAccel,Posted 1 week ago,81 applicants,51-200 employees,Associate,Full-time,"['Business Development', 'Sales']","['Computer Software', 'Internet', 'Financial Services']"
33,BUSINESS INTELLIGENCE ANALYST,Sayurbox,Posted 1 month ago,707 applicants,201-500 employees,Mid-Senior level,Full-time,"['Business Development', 'Sales']","['Computer Software', 'Internet', 'Consumer Goods']"
34,Lowongan Data Analyst Unit Head (IT),PT Mega Akses Persada (FiberStar),Posted 3 weeks ago,291 applicants,"501-1,000 employees",Entry level,Full-time,Information Technology,Telecommunications
35,Software Business Analyst,Avows Technologies,Posted 5 days ago,31 applicants,201-500 employees,Associate,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Public Relations & Communications']"
36,"Data Analyst, GrabFood Bandung",ACCA Careers,Posted 1 week ago,57 applicants,51-200 employees,Entry level,Full-time,Information Technology,"['Electrical & Electronic Manufacturing', 'Staffing & Recruiting', 'Human Resources']"
37,Business Analyst,NTT Ltd.,Posted 3 weeks ago,15 applicants,10001+ employees,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
38,Digital Analyst,PT. Kontak Perkasa Futures,Posted 14 hours ago,8 applicants,"501-1,000 employees",Entry level,Full-time,,Financial Services
39,Business Analyst,PT Multipolar Technology Tbk,Posted 1 month ago,121 applicants,201-500 employees,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Telecommunications']"
40,Business Analyst,Ninja Van,Posted 3 weeks ago,839 applicants,"501-1,000 employees",Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
41,Business Analyst,Alterra Indonesia,Posted 2 months ago,560 applicants,201-500 employees,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
42,Business Analyst,Cermati.com,Posted 4 weeks ago,80 applicants,201-500 employees,Entry level,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Internet', 'Financial Services']"
43,Product Manager (Analytics & Data),ndigital,Posted 1 month ago,235 applicants,201-500 employees,Mid-Senior level,Full-time,"['Product Management', 'Marketing']","['Computer Software', 'Internet', 'Financial Services']"
44,BUSINESS INSIGHT,Bank OCBC NISP,Posted 1 week ago,275 applicants,"5,001-10,000 employees",Associate,Full-time,"['Analyst', 'Other']",Banking
45,Business Analyst,PT Berlian Sistem Informasi,Posted 1 month ago,35 applicants,201-500 employees,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
46,Business Analyst,PT.Visionet Data Internasional,Posted 1 month ago,471 applicants,"1,001-5,000 employees",Associate,Full-time,"['Business Development', 'Sales']",Information Technology & Services
47,Senior IT Business Analyst,Firium Solutions (Asia Pacific),Posted 1 week ago,238 applicants,51-200 employees,Associate,Full-time,"['Business Development', 'Sales']",Information Technology & Services
48,Business Analyst (Banking Project),PT. Moonlay Technologies,Posted 3 weeks ago,333 applicants,51-200 employees,Mid-Senior level,Full-time,Information Technology,Information Technology & Services
49,Data Analyst / BI - Fintech,Michael Page,Posted 2 months ago,99 applicants,"5,001-10,000 employees",Associate,Full-time,Information Technology,Financial Services
50,Operations Support Analyst,Citi,Posted 2 weeks ago,161 applicants,10001+ employees,,Full-time,Information Technology,"['Banking', 'Financial Services', 'Investment Banking']"
51,Lowongan Marketing Data Analyst,PT. Finansia Multi Finance,Posted 2 weeks ago,99 applicants,10001+ employees,Associate,Full-time,Information Technology,"['Banking', 'Financial Services']"
52,Business Analyst (Buyer),Ula,Posted 2 weeks ago,126 applicants,51-200 employees,Associate,Full-time,Other,Information Technology & Services
53,Quality Analyst (Contact Center),Concentrix,Posted 4 weeks ago,337 applicants,10001+ employees,Entry level,Full-time,"['Quality Assurance', 'Customer Service', 'Analyst']","['Consumer Services', 'Hospitality', 'Outsourcing/Offshoring']"
54,Product Manager,Vidio,Posted 2 weeks ago,402 applicants,51-200 employees,Mid-Senior level,Full-time,Product Management,"['Entertainment', 'Online Media', 'Broadcast Media']"
55,Category Analyst Section Head,PT Lion Super Indo,Posted 4 weeks ago,"1,183 applicants","5,001-10,000 employees",Mid-Senior level,Full-time,Analyst,Retail
56,Senior Data Scientist,PT. Sarimelati Kencana Tbk.,Posted 3 weeks ago,180 applicants,"5,001-10,000 employees",Mid-Senior level,Contract,"['Engineering', 'Information Technology']",Restaurants
57,Internal Audit Data Analytics Specialist,PT Bank Jago Tbk,Posted 1 month ago,520 applicants,201-500 employees,Associate,Full-time,"['Accounting/Auditing', 'Finance']","['Computer Software', 'Internet', 'Financial Services']"
58,Information Technology Business Analyst,Arya Noble,Posted 3 weeks ago,609 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,"['Training', 'Analyst', 'Consulting']","['Investment Management', 'Retail', 'Consumer Goods']"
59,Cost Analyst ISC Finance Plant Bandung,Mondelēz International,Posted 1 week ago,327 applicants,10001+ employees,Entry level,Full-time,"['Finance', 'Sales']","['Food Production', 'Food & Beverages', 'Consumer Goods']"
60,Business Analyst (Insurance/Banking),"Indocyber Global Teknologi, PT",Posted 1 month ago,21 applicants,"501-1,000 employees",Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
61,Senior Analytics Specialist,OLX Group,Posted 3 weeks ago,22 applicants,"5,001-10,000 employees",Associate,Full-time,Other,"['Marketing & Advertising', 'Internet', 'Human Resources']"
62,Campaign Associate (Fashion - Flash Sale & Livestreaming),Lazada,Posted 3 weeks ago,"2,132 applicants","5,001-10,000 employees",Mid-Senior level,Full-time,"['Management', 'Business Development', 'Analyst']","['Internet', 'Consumer Goods', 'Apparel & Fashion']"
63,Senior Finance Staff,Modalku,Posted 4 days ago,297 applicants,51-200 employees,Mid-Senior level,Full-time,Finance,"['Financial Services', 'Banking']"
64,Center of Operation and Financial Excellence Senior Lead,Tokopedia,Posted 2 weeks ago,270 applicants,"1,001-5,000 employees",Director,Full-time,"['Finance', 'Strategy/Planning']",Internet
65,Lowongan Senior Data Analyst,PT. Mega Central Finance,Posted 2 weeks ago,51 applicants,"1,001-5,000 employees",Associate,Full-time,Information Technology,"['Banking', 'Financial Services']"
66,Sales Performance Specialist,Lamudi.co.id | Teman Terpercaya Cari Properti,Posted 2 weeks ago,46 applicants,201-500 employees,Entry level,Full-time,Human Resources,"['Marketing & Advertising', 'Internet', 'Financial Services']"
67,Business Analyst,PT.Biomorf Lone Indonesia,Posted 1 month ago,9 applicants,51-200 employees,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Management Consulting', 'Financial Services']"
68,Data Platform DevOps Engineer,Shopee,Posted 3 months ago,135 applicants,"5,001-10,000 employees",Entry level,Full-time,Other,"['Marketing & Advertising', 'Internet', 'Financial Services']"
69,Senior Analyst,Ogilvy,Posted 2 months ago,52 applicants,10001+ employees,Associate,Full-time,"['Research', 'Analyst', 'Information Technology']","['Marketing & Advertising', 'Information Technology & Services', 'Human Resources']"
70,Digital Strategist,Bounche,Posted 1 month ago,40 applicants,51-200 employees,Associate,Full-time,"['Marketing', 'Sales']","['Marketing & Advertising', 'Online Media', 'Internet']"
71,Credit Risk Analyst,Aspire,Posted 1 month ago,319 applicants,51-200 employees,Associate,Full-time,"['Finance', 'Sales']","['Financial Services', 'Internet']"
72,"HR TALENT ANALYST - Dubai, UAE",Cobblestone Energy,Posted 1 month ago,647 applicants,11-50 employees,Associate,Full-time,Human Resources,"['Computer Software', 'Staffing & Recruiting', 'Financial Services']"
73,Growth & Data Analyst,The Body Shop Indonesia,Posted 1 day ago,41 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Consumer Goods']"
74,"Data Management and Analysis Specialist, Monitoring, Evaluation and Learning (MEL) Platform for USAID/Indonesia, Jakarta, Indonesia",Management Systems International,Posted 5 months ago,100 applicants,"501-1,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Non-profit Organization Management', 'Financial Services']"
75,IT Programmer,PT Care Technologies,Posted 1 month ago,6 applicants,2-10 employees,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
76,Data Analyst (Payment),Traveloka,Posted 1 month ago,"1,835 applicants","1,001-5,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
77,Technical Business Analyst,RGF HR Agent,Posted 1 month ago,0 applicants,51-200 employees,Associate,Full-time,"['Business Development', 'Sales']","['Construction', 'Consumer Goods', 'Financial Services']"
78,Business Analyst (Intern) - MI - Jakarta,"MARKPLUS, INC.",Posted 1 month ago,244 applicants,201-500 employees,Internship,Internship,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Public Relations & Communications']"
79,CHC Business Analyst,Sanofi,Posted 3 weeks ago,11 applicants,10001+ employees,Associate,Full-time,"['Business Development', 'Marketing', 'Product Management']","['Pharmaceuticals', 'Chemicals', 'Biotechnology']"
80,Data Analyst for Content - Jakarta,Quipper,Posted 2 weeks ago,224 applicants,"501-1,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
81,Remote Business Analysis Internship - Junior Business Analyst,Taak!Zone,Posted 3 days ago,323 applicants,51-200 employees,Internship,Part-time,"['Business Development', 'Sales']",Management Consulting
82,Product Management Intern,Fabelio,Posted 4 days ago,784 applicants,201-500 employees,Internship,Internship,Other,Furniture
83,Factory Costing Specialist,Nestlé,Posted 3 weeks ago,527 applicants,10001+ employees,,Full-time,"['Finance', 'Accounting/Auditing']","['Consumer Goods', 'Food & Beverages', 'Food Production']"
84,"Data Analyst, GrabFood Bandung",Grab,Posted 1 week ago,459 applicants,"5,001-10,000 employees",Entry level,Full-time,"['Finance', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
85,Organon - Quality Analyst Raw Material,MSD,Posted 5 days ago,26 applicants,10001+ employees,Associate,Full-time,Quality Assurance,"['Biotechnology', 'Pharmaceuticals', 'Veterinary']"
86,Business Analyst,Ralali.com - B2B Marketplace,Posted 17 hours ago,102 applicants,201-500 employees,Associate,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Internet']"
87,Market Technology - Senior Business Analyst,HAVI,Posted 1 month ago,36 applicants,10001+ employees,,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Logistics & Supply Chain', 'Staffing & Recruiting']"
88,Head of Data Analyst,ITB Career Center,Posted 1 month ago,43 applicants,11-50 employees,Associate,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
89,Trade Compliance Operations Senior Analyst,Cargill,Posted 1 week ago,29 applicants,10001+ employees,Associate,Full-time,Other,"['Chemicals', 'Food & Beverages', 'Food Production']"
90,Trade Compliance Operations Senior Analyst,Cargill,Posted 1 week ago,20 applicants,10001+ employees,Associate,Full-time,Other,"['Chemicals', 'Food & Beverages', 'Food Production']"
91,Business Intelligence Analyst - Merchant Platform,Gojek,Posted 3 weeks ago,189 applicants,"1,001-5,000 employees",Associate,Full-time,"['Business Development', 'Sales']","['Computer Software', 'Internet', 'Financial Services']"
92,Senior Merchandiser,Jakmall.com,Posted 5 days ago,64 applicants,51-200 employees,Associate,Full-time,"['Marketing', 'Sales']","['Marketing & Advertising', 'Telecommunications', 'Consumer Services']"
93,"Analyst (Analytics Operations) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,Posted 6 days ago,46 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,Other,Internet
94,"Senior Data Analyst (Bangkok Based, relocation provided)",Agoda,Posted 4 weeks ago,45 applicants,"1,001-5,000 employees",Associate,Full-time,Information Technology,Internet
95,Business Analyst,Alterra Indonesia,Posted 2 months ago,"2,351 applicants",201-500 employees,Entry level,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
96,"Manager, Sales Operations (Customer Success)",GitLab,Posted 1 week ago,89 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,"['Management', 'Manufacturing']","['Information Technology & Services', 'Computer Software']"
97,Business Analyst,NTT Ltd.,Posted 3 weeks ago,1 applicant,10001+ employees,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
98,"Senior Analyst, (Government Affairs, Public Policy, (Bahasa Indonesia)",Google,Posted 2 weeks ago,"1,093 applicants",10001+ employees,,Full-time,Other,"['Information Services', 'Internet']"
99,Business Analyst (IT),PT Mega Akses Persada (FiberStar),Posted 1 month ago,547 applicants,"501-1,000 employees",Associate,Full-time,"['Business Development', 'Sales']",Telecommunications
100,IT Business Analyst - IT System Analyst,PT Kamoro Maxima Integra,Posted 1 month ago,248 applicants,51-200 employees,Entry level,Full-time,Information Technology,Information Technology & Services
101,Fleet Support Data Assistant Manager,Ninja Van,Posted 1 month ago,81 applicants,"501-1,000 employees",Entry level,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
102,Manager - Quality assurance (QA) Lead - ID,Deloitte,Posted 5 months ago,213 applicants,10001+ employees,Mid-Senior level,Full-time,Quality Assurance,"['Management Consulting', 'Information Technology & Services', 'Computer Software']"
103,Data Warehouse Engineer - GoPay,Gojek,Posted 3 weeks ago,75 applicants,"1,001-5,000 employees",Entry level,Full-time,"['Business Development', 'Sales']","['Computer Software', 'Internet', 'Financial Services']"
104,Risk Portfolio Senior Analyst,Citi,Posted 3 weeks ago,152 applicants,10001+ employees,Mid-Senior level,Full-time,"['Accounting/Auditing', 'Quality Assurance']","['Banking', 'Financial Services', 'Investment Banking']"
105,Data Analyst (Ops) - Consulting Background - East Indonesia,Michael Page,Posted 5 months ago,91 applicants,"5,001-10,000 employees",Entry level,Full-time,Information Technology,"['Oil & Energy', 'Renewables & Environment']"
106,Commercial Finance Senior Analyst - R-35909,The Kraft Heinz Company,Posted 2 weeks ago,201 applicants,10001+ employees,,Full-time,"['Finance', 'Accounting/Auditing']","['Food & Beverages', 'Consumer Goods', 'Food Production']"
107,Software Quality Analyst (SQA) - Game,Shopee,Posted 4 months ago,612 applicants,"5,001-10,000 employees",Entry level,Full-time,Quality Assurance,"['Marketing & Advertising', 'Internet', 'Financial Services']"
108,Data Analyst,KoinWorks,Posted 1 day ago,15 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Banking', 'Financial Services']"
109,PayLater Data Analyst,Traveloka,Posted 3 weeks ago,608 applicants,"1,001-5,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
110,"Analyst (Business Intelligence) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,Posted 6 days ago,49 applicants,"1,001-5,000 employees",Associate,Full-time,"['Business Development', 'Sales']",Internet
111,"Growth Analytics Lead, Financial Services Platform",Gojek,Posted 3 weeks ago,107 applicants,"1,001-5,000 employees",Associate,Full-time,Other,"['Computer Software', 'Internet', 'Financial Services']"
112,Product Manager,Fabelio,Posted 2 weeks ago,153 applicants,201-500 employees,Mid-Senior level,Full-time,Other,Furniture
113,Lowongan Senior IT Business Analyst,PT Berlian Sistem Informasi,Posted 3 weeks ago,48 applicants,201-500 employees,Associate,Full-time,"['Business Development', 'Sales']",Information Technology & Services
114,Manager - Infrastructure Lead - ID,Deloitte,Posted 5 months ago,174 applicants,10001+ employees,Associate,Full-time,Information Technology,"['Management Consulting', 'Information Technology & Services', 'Computer Software']"
115,Senior Data Analyst,ITB Career Center,Posted 1 month ago,20 applicants,11-50 employees,Associate,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
116,Senior Associate Business Analyst,NTT Ltd.,Posted 3 weeks ago,1 applicant,10001+ employees,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
117,"Strategy and Planning Lead, Sumatera",Grab,Posted 1 week ago,121 applicants,"5,001-10,000 employees",Mid-Senior level,Full-time,"['Strategy/Planning', 'Consulting', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
118,Risk Portfolio Senior Analyst,Citi,Posted 1 month ago,26 applicants,10001+ employees,,Full-time,"['Finance', 'Sales']","['Banking', 'Financial Services', 'Investment Banking']"
119,Data Analyst,Mitramas Infosys Global,Posted 1 day ago,65 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
120,"Business Analyst – Partner Programs (Bangkok based, relocation provided)",Agoda,Posted 4 weeks ago,205 applicants,"1,001-5,000 employees",Associate,Full-time,"['Business Development', 'Sales']",Internet
121,Data Analyst (Transport),Traveloka,Posted 1 month ago,254 applicants,"1,001-5,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
122,Business Analyst (Intern) - MI Surabaya - Jakarta,"MARKPLUS, INC.",Posted 1 month ago,46 applicants,201-500 employees,Internship,Internship,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Public Relations & Communications']"
123,Senior BI / Data Analyst - Digital Payment,Michael Page,Posted 2 months ago,24 applicants,"5,001-10,000 employees",Associate,Full-time,Information Technology,Financial Services
124,Key Account Manager - Financial Services,RGF HR Agent,Posted 5 months ago,29 applicants,51-200 employees,Associate,Full-time,"['Sales', 'Business Development']","['Construction', 'Consumer Goods', 'Financial Services']"
125,Lowongan Pengawas Lapangan (Infrastruktur Telekomunikasi) - Pekanbaru,PT Mega Akses Persada (FiberStar),Posted 3 weeks ago,379 applicants,"501-1,000 employees",,Full-time,Other,Telecommunications
126,Manager - Software Lead - ID,Deloitte,Posted 5 months ago,29 applicants,10001+ employees,Mid-Senior level,Full-time,"['Engineering', 'Information Technology']","['Management Consulting', 'Information Technology & Services', 'Computer Software']"
127,Data Analyst - Jakarta,NuWorq,Posted 5 days ago,6 applicants,,Entry level,Full-time,Information Technology,
128,Data Analyst Lead - PayLater,Traveloka,Posted 2 weeks ago,39 applicants,"1,001-5,000 employees",Associate,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
129,"Business Analyst (Intern) – Automotive, Transportation, and Logistics Sector - Jakarta","MARKPLUS, INC.",Posted 1 month ago,43 applicants,201-500 employees,Internship,Internship,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Public Relations & Communications']"
130,Senior Analyst - Investment Banking - Real Estate,Michael Page,Posted 5 months ago,90 applicants,"5,001-10,000 employees",Associate,Full-time,"['Finance', 'Sales']",Financial Services
131,Data Analyst,Payfazz (PT. Payfazz Teknologi Nusantara),Posted 3 weeks ago,62 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
132,Senior Manager - Software Quality Assurance (SQA) Lead - ID,Deloitte,Posted 2 months ago,50 applicants,10001+ employees,Mid-Senior level,Full-time,Quality Assurance,"['Management Consulting', 'Information Technology & Services', 'Computer Software']"
133,"Senior Analyst (Statistical Analyst) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,Posted 4 weeks ago,28 applicants,"1,001-5,000 employees",Associate,Full-time,Information Technology,Internet
134,"Manager, Marketing Innovation and Analytics (Bangkok-based, relocation provided)",Agoda,Posted 4 weeks ago,59 applicants,"1,001-5,000 employees",Associate,Full-time,"['Product Management', 'Marketing']",Internet
135,Data Warehouse Engineer,Traveloka,Posted 3 weeks ago,77 applicants,"1,001-5,000 employees",Entry level,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
136,"Senior Data Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)",Agoda,Posted 4 weeks ago,33 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,Information Technology,Internet
137,"Business Analyst (Intern) – Resources, Infrastructure, and Utilities (RIU) - Jakarta","MARKPLUS, INC.",Posted 2 weeks ago,175 applicants,201-500 employees,Internship,Internship,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Public Relations & Communications']"
138,Lead Data Analyst (PayLater),Traveloka,Posted 2 weeks ago,141 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,Information Technology,Internet
139,"Lead Data Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)",Agoda,Posted 4 weeks ago,27 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,Information Technology,Internet
140,"Senior Manager, Performance Marketing (Bangkok-based, relocation provided)",Agoda,Posted 4 weeks ago,27 applicants,"1,001-5,000 employees",Associate,Full-time,"['Consulting', 'Information Technology', 'Sales']",Internet
141,Data Analyst /Research Assistant,BFITech,Posted 2 weeks ago,81 applicants,,Entry level,Full-time,Information Technology,"['Sports', 'Research', 'Entertainment']"
142,"Manager (Statistical Analyst) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,Posted 4 weeks ago,49 applicants,"1,001-5,000 employees",Associate,Full-time,"['Research', 'Analyst', 'Information Technology']",Internet
143,"Manager, Marketing Analytics (Bangkok-based, relocation provided)",Agoda,Posted 4 weeks ago,73 applicants,"1,001-5,000 employees",Associate,Full-time,"['Marketing', 'Sales']",Internet
144,Business Analyst (Intern) - Tourism and Government Sector - Jakarta,"MARKPLUS, INC.",Posted 1 month ago,71 applicants,201-500 employees,Internship,Internship,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Public Relations & Communications']"
145,"Manager, Performance Marketing (Bangkok Based, Relocation Provided)",Agoda,Posted 2 weeks ago,40 applicants,"1,001-5,000 employees",Associate,Full-time,"['Consulting', 'Information Technology', 'Sales']",Internet
146,"Senior Manager, Performance Marketing (Bangkok Based, Relocation Provided)",Agoda,Posted 2 weeks ago,21 applicants,"1,001-5,000 employees",Associate,Full-time,"['Consulting', 'Information Technology', 'Sales']",Internet
147,"Senior Manager, Global Marketing Innovation and Analytics (Bangkok-based, relocation provided)",Agoda,Posted 2 weeks ago,20 applicants,"1,001-5,000 employees",Associate,Full-time,"['Product Management', 'Marketing']",Internet
